DataNo,FrameNo,SampleNo,Ch0,Ch1
0,0,0,0.032654,-0.011597
1,1,0,0.065002,-0.00824
2,2,0,-0.030518,-0.022888
3,3,0,0.054626,-0.008545
4,4,0,0.020447,-0.02594
5,5,0,-0.010986,-0.02594
6,6,0,0.003662,-0.011597
7,7,0,0.009766,-0.012512
8,8,0,0.089722,-0.006409
9,9,0,0.038757,0.002747
10,10,0,0.022583,-0.014343
11,11,0,0.005188,-0.00946
12,12,0,-0.007935,-0.000305
13,13,0,0.005798,0.004883
14,14,0,-0.031738,-0.025024
15,15,0,0.003357,-0.028687
16,16,0,0.00946,-0.010986
17,17,0,0.003967,-0.019226
18,18,0,-0.00885,-0.011292
19,19,0,0.032349,-0.006714
20,20,0,0.002747,-0.010681
21,21,0,0.004578,0.013123
22,22,0,-0.015259,-0.018005
23,23,0,0.057678,-0.019836
24,24,0,0.003357,-0.013733
25,25,0,0.027466,-0.00824
26,26,0,0.006714,-0.029297
27,27,0,0.020447,-0.023193
28,28,0,-0.018616,-0.010681
29,29,0,0.059509,-0.001831
30,30,0,-0.019836,-0.00061
31,31,0,-0.010681,-0.007935
32,32,0,-0.002441,-0.042725
33,33,0,-0.024414,-0.026245
34,34,0,0.019836,-0.005493
35,35,0,0.007629,-0.019226
36,36,0,-0.021667,-0.027161
37,37,0,0.014648,-0.015564
38,38,0,0.007935,-0.021057
39,39,0,-0.022888,-0.00885
40,40,0,0.043945,-0.007935
41,41,0,0.048218,-0.002441
42,42,0,-0.020142,-0.003662
43,43,0,-0.033875,-0.016174
44,44,0,-0.06012,-0.007935
45,45,0,0.005188,-0.018311
46,46,0,-0.018005,-0.016479
47,47,0,0.019836,-0.019836
48,48,0,-0.004883,-0.018616
49,49,0,-0.016479,-0.016174
50,50,0,0.011902,-0.007629
51,51,0,-0.016174,0.000916
52,52,0,-0.043945,-0.020142
53,53,0,0.073547,-0.016785
54,54,0,-0.00061,-0.011902
55,55,0,0.047913,-0.011597
56,56,0,-0.065613,-0.017395
57,57,0,0.056763,0.009155
58,58,0,0.037231,-0.020447
59,59,0,-0.032043,-0.028992
60,60,0,-0.031738,-0.013428
61,61,0,-0.104675,-0.027161
62,62,0,-0.001526,-0.04425
63,63,0,-0.022888,-0.029907
64,64,0,0.027466,-0.010986
65,65,0,0.007935,-0.003052
66,66,0,0.043945,-0.007629
67,67,0,0.003662,-0.02655
68,68,0,-0.034485,-0.006409
69,69,0,-0.003967,-0.009155
70,70,0,-0.010681,-0.012817
71,71,0,0.057678,-0.007629
72,72,0,0.069885,-0.010986
73,73,0,-0.062866,-0.017395
74,74,0,0.015869,-0.022888
75,75,0,0.071106,-0.004272
76,76,0,0.052185,-0.00061
77,77,0,0.033569,-0.015869
78,78,0,-0.00885,-0.021667
79,79,0,0.0177,-0.011902
80,80,0,0.023499,-0.004578
81,81,0,0.078735,-0.006104
82,82,0,-0.099792,-0.024414
83,83,0,0.018616,-0.00824
84,84,0,0.035706,0.005798
85,85,0,-0.031128,-0.020447
86,86,0,0.021362,0.01709
87,87,0,0.022278,-0.012512
88,88,0,0.023804,-0.020142
89,89,0,-0.018921,-0.001526
90,90,0,-0.007324,-0.010071
91,91,0,0.004883,-0.026855
92,92,0,-0.046997,-0.016479
93,93,0,-0.016785,-0.006104
94,94,0,-0.003357,-0.014343
95,95,0,-0.068054,-0.014343
96,96,0,-0.001526,-0.023499
97,97,0,0.039063,-0.017395
98,98,0,0.012817,-0.004272
99,99,0,0.019836,-0.011902
100,100,0,-0.015564,-0.012207
101,101,0,0.050659,-0.009766
102,102,0,0.06134,0.001221
103,103,0,0.02533,-0.00061
